"family","father","mother","midparentHeight","children","childNum","gender","childHeight"
"001",78.5,67,75.43,4,1,"male",73.2
"001",78.5,67,75.43,4,2,"female",69.2
"001",78.5,67,75.43,4,3,"female",69
"001",78.5,67,75.43,4,4,"female",69
"002",75.5,66.5,73.66,4,1,"male",73.5
"002",75.5,66.5,73.66,4,2,"male",72.5
"002",75.5,66.5,73.66,4,3,"female",65.5
"002",75.5,66.5,73.66,4,4,"female",65.5
"003",75,64,72.06,2,1,"male",71
"003",75,64,72.06,2,2,"female",68
"004",75,64,72.06,5,1,"male",70.5
"004",75,64,72.06,5,2,"male",68.5
"004",75,64,72.06,5,3,"female",67
"004",75,64,72.06,5,4,"female",64.5
"004",75,64,72.06,5,5,"female",63
"005",75,58.5,69.09,6,1,"male",72
"005",75,58.5,69.09,6,2,"male",69
"005",75,58.5,69.09,6,3,"male",68
"005",75,58.5,69.09,6,4,"female",66.5
"005",75,58.5,69.09,6,5,"female",62.5
"005",75,58.5,69.09,6,6,"female",62.5
"006",74,68,73.72,1,1,"female",69.5
"007",74,68,73.72,6,1,"male",76.5
"007",74,68,73.72,6,2,"male",74
"007",74,68,73.72,6,3,"male",73
"007",74,68,73.72,6,4,"male",73
"007",74,68,73.72,6,5,"female",70.5
"007",74,68,73.72,6,6,"female",64
"008",74,66.5,72.91,3,1,"female",70.5
"008",74,66.5,72.91,3,2,"female",68
"008",74,66.5,72.91,3,3,"female",66
"009",74.5,66,72.89,1,1,"female",66
"010",74,65.5,72.37,1,1,"female",65.5
"011",74,62,70.48,8,1,"male",74
"011",74,62,70.48,8,2,"male",70
"011",74,62,70.48,8,3,"female",68
"011",74,62,70.48,8,4,"female",67
"011",74,62,70.48,8,5,"female",67
"011",74,62,70.48,8,6,"female",66
"011",74,62,70.48,8,7,"female",63.5
"011",74,62,70.48,8,8,"female",63
"012",74,61,69.94,1,1,"female",65
"013",73,67,72.68,2,1,"male",71
"013",73,67,72.68,2,2,"female",62
"014",73,67,72.68,2,1,"male",68
"014",73,67,72.68,2,2,"male",67
"015",73,66.5,72.41,3,1,"male",71
"015",73,66.5,72.41,3,2,"male",70.5
"015",73,66.5,72.41,3,3,"female",66.7
"016",73,65,71.6,9,1,"male",72
"016",73,65,71.6,9,2,"male",70.5
"016",73,65,71.6,9,3,"male",70.2
"016",73,65,71.6,9,4,"male",70.2
"016",73,65,71.6,9,5,"male",69.2
"016",73,65,71.6,9,6,"female",68.7
"016",73,65,71.6,9,7,"female",66.5
"016",73,65,71.6,9,8,"female",64.5
"016",73,65,71.6,9,9,"female",63.5
"017",73,64.5,71.33,6,1,"male",74
"017",73,64.5,71.33,6,2,"male",73
"017",73,64.5,71.33,6,3,"male",71.5
"017",73,64.5,71.33,6,4,"male",62.5
"017",73,64.5,71.33,6,5,"female",66.5
"017",73,64.5,71.33,6,6,"female",62.3
"018",73,64,71.06,3,1,"female",66
"018",73,64,71.06,3,2,"female",64.5
"018",73,64,71.06,3,3,"female",64
"019",73.2,63,70.62,1,1,"female",62.7
"020",72.7,69,73.61,8,1,"male",73.2
"020",72.7,69,73.61,8,2,"male",73
"020",72.7,69,73.61,8,3,"male",72.7
"020",72.7,69,73.61,8,4,"female",70
"020",72.7,69,73.61,8,5,"female",69
"020",72.7,69,73.61,8,6,"female",68.5
"020",72.7,69,73.61,8,7,"female",68
"020",72.7,69,73.61,8,8,"female",66
"021",72,68,72.72,3,1,"male",73
"021",72,68,72.72,3,2,"female",68.5
"021",72,68,72.72,3,3,"female",68
"022",72,67,72.18,3,1,"male",73
"022",72,67,72.18,3,2,"male",71
"022",72,67,72.18,3,3,"female",67
"023",72,65,71.1,7,1,"male",74.2
"023",72,65,71.1,7,2,"male",70.5
"023",72,65,71.1,7,3,"male",69.5
"023",72,65,71.1,7,4,"female",66
"023",72,65,71.1,7,5,"female",65.5
"023",72,65,71.1,7,6,"female",65
"023",72,65,71.1,7,7,"female",65
"024",72,65.5,71.37,1,1,"female",65.5
"025",72,64,70.56,2,1,"female",66
"025",72,64,70.56,2,2,"female",63
"026",72,63,70.02,5,1,"male",70.5
"026",72,63,70.02,5,2,"male",70.5
"026",72,63,70.02,5,3,"male",69
"026",72,63,70.02,5,4,"female",65
"026",72,63,70.02,5,5,"female",63
"027",72,63,70.02,3,1,"male",69
"027",72,63,70.02,3,2,"male",67
"027",72,63,70.02,3,3,"female",63
"028",72,63,70.02,6,1,"male",73
"028",72,63,70.02,6,2,"male",67
"028",72,63,70.02,6,3,"female",70.5
"028",72,63,70.02,6,4,"female",70
"028",72,63,70.02,6,5,"female",66.5
"028",72,63,70.02,6,6,"female",63
"029",72.5,63.5,70.54,3,1,"female",67.5
"029",72.5,63.5,70.54,3,2,"female",67.2
"029",72.5,63.5,70.54,3,3,"female",66.7
"030",72,62,69.48,1,1,"female",64
"031",72.5,62,69.73,6,1,"male",71
"031",72.5,62,69.73,6,2,"male",70
"031",72.5,62,69.73,6,3,"male",70
"031",72.5,62,69.73,6,4,"female",66
"031",72.5,62,69.73,6,5,"female",65
"031",72.5,62,69.73,6,6,"female",65
"032",72,62,69.48,5,1,"male",74
"032",72,62,69.48,5,2,"male",72
"032",72,62,69.48,5,3,"male",69
"032",72,62,69.48,5,4,"female",67.5
"032",72,62,69.48,5,5,"female",63.5
"033",72,62,69.48,5,1,"male",72
"033",72,62,69.48,5,2,"male",71.5
"033",72,62,69.48,5,3,"male",71.5
"033",72,62,69.48,5,4,"male",70
"033",72,62,69.48,5,5,"female",68
"034",72,61,68.94,1,1,"female",65.7
"035",71,69,72.76,5,1,"male",78
"035",71,69,72.76,5,2,"male",74
"035",71,69,72.76,5,3,"male",73
"035",71,69,72.76,5,4,"male",72
"035",71,69,72.76,5,5,"female",67
"036",71,67,71.68,4,1,"male",73.2
"036",71,67,71.68,4,2,"male",73
"036",71,67,71.68,4,3,"male",69
"036",71,67,71.68,4,4,"female",67
"037",71,66,71.14,4,1,"male",70
"037",71,66,71.14,4,2,"female",67
"037",71,66,71.14,4,3,"female",67
"037",71,66,71.14,4,4,"female",66.5
"038",71,66,71.14,6,1,"male",70
"038",71,66,71.14,6,2,"male",69
"038",71,66,71.14,6,3,"male",68.5
"038",71,66,71.14,6,4,"female",66
"038",71,66,71.14,6,5,"female",64.5
"038",71,66,71.14,6,6,"female",63
"039",71,66,71.14,2,1,"male",71
"039",71,66,71.14,2,2,"female",67
"040",71,66,71.14,5,1,"male",76
"040",71,66,71.14,5,2,"male",72
"040",71,66,71.14,5,3,"male",71
"040",71,66,71.14,5,4,"male",66
"040",71,66,71.14,5,5,"female",66
"041",71.7,65.5,71.22,1,1,"male",70.5
"042",71,65.5,70.87,6,1,"male",72
"042",71,65.5,70.87,6,2,"male",72
"042",71,65.5,70.87,6,3,"male",71
"042",71,65.5,70.87,6,4,"male",69
"042",71,65.5,70.87,6,5,"female",66
"042",71,65.5,70.87,6,6,"female",65
"043",71.5,65.5,71.12,2,1,"male",73
"043",71.5,65.5,71.12,2,2,"female",65.2
"044",71.5,65,70.85,2,1,"male",68.5
"044",71.5,65,70.85,2,2,"male",67.7
"045",71,65,70.6,3,1,"male",68
"045",71,65,70.6,3,2,"male",68
"045",71,65,70.6,3,3,"female",62
"046",71,64,70.06,8,1,"female",68
"046",71,64,70.06,8,2,"female",68
"046",71,64,70.06,8,3,"female",67.5
"046",71,64,70.06,8,4,"female",66.5
"046",71,64,70.06,8,5,"female",66.5
"046",71,64,70.06,8,6,"female",66
"046",71,64,70.06,8,7,"female",65.5
"046",71,64,70.06,8,8,"female",65
"047",71.7,64.5,70.68,4,1,"male",72
"047",71.7,64.5,70.68,4,2,"male",71
"047",71.7,64.5,70.68,4,3,"male",70.5
"047",71.7,64.5,70.68,4,4,"female",67
"048",71,64,70.06,3,1,"male",68
"048",71,64,70.06,3,2,"male",68
"048",71,64,70.06,3,3,"male",68
"049",71.5,64.5,70.58,7,1,"male",72
"049",71.5,64.5,70.58,7,2,"male",71
"049",71.5,64.5,70.58,7,3,"male",70
"049",71.5,64.5,70.58,7,4,"female",66
"049",71.5,64.5,70.58,7,5,"female",64.5
"049",71.5,64.5,70.58,7,6,"female",64.5
"049",71.5,64.5,70.58,7,7,"female",62
"050",71,64.5,70.33,2,1,"male",73
"050",71,64.5,70.33,2,2,"female",62
"051",71.2,63,69.62,2,1,"female",67.5
"051",71.2,63,69.62,2,2,"female",64.5
"052",71,63.5,69.79,5,1,"male",71
"052",71,63.5,69.79,5,2,"male",67
"052",71,63.5,69.79,5,3,"female",66
"052",71,63.5,69.79,5,4,"female",65
"052",71,63.5,69.79,5,5,"female",63.5
"053",71,63,69.52,9,1,"male",71
"053",71,63,69.52,9,2,"male",70
"053",71,63,69.52,9,3,"male",70
"053",71,63,69.52,9,4,"male",64
"053",71,63,69.52,9,5,"female",65
"053",71,63,69.52,9,6,"female",65
"053",71,63,69.52,9,7,"female",64
"053",71,63,69.52,9,8,"female",63
"053",71,63,69.52,9,9,"female",63
"054",71,63,69.52,4,1,"male",71
"054",71,63,69.52,4,2,"male",71
"054",71,63,69.52,4,3,"male",70
"054",71,63,69.52,4,4,"female",63.5
"055",71,62,68.98,5,1,"male",71
"055",71,62,68.98,5,2,"male",70
"055",71,62,68.98,5,3,"female",64.5
"055",71,62,68.98,5,4,"female",62.5
"055",71,62,68.98,5,5,"female",61.5
"056",71,62,68.98,5,1,"male",72
"056",71,62,68.98,5,2,"male",70.5
"056",71,62,68.98,5,3,"male",70.5
"056",71,62,68.98,5,4,"female",64.5
"056",71,62,68.98,5,5,"female",60
"057",71,62.5,69.25,5,1,"male",70
"057",71,62.5,69.25,5,2,"female",64
"057",71,62.5,69.25,5,3,"female",64
"057",71,62.5,69.25,5,4,"female",64
"057",71,62.5,69.25,5,5,"female",62.5
"058",71,62,68.98,7,1,"male",70.5
"058",71,62,68.98,7,2,"male",70
"058",71,62,68.98,7,3,"male",69
"058",71,62,68.98,7,4,"male",69
"058",71,62,68.98,7,5,"male",66
"058",71,62,68.98,7,6,"female",64.5
"058",71,62,68.98,7,7,"female",64
"059",71,61,68.44,1,1,"female",62
"060",71,58,66.82,2,1,"male",71.5
"060",71,58,66.82,2,2,"male",69
"061",70,69,72.26,4,1,"male",71
"061",70,69,72.26,4,2,"male",70
"061",70,69,72.26,4,3,"male",69
"061",70,69,72.26,4,4,"female",69
"062",70,69,72.26,6,1,"male",70
"062",70,69,72.26,6,2,"male",68.7
"062",70,69,72.26,6,3,"female",68
"062",70,69,72.26,6,4,"female",66
"062",70,69,72.26,6,5,"female",64
"062",70,69,72.26,6,6,"female",62
"063",70,68,71.72,1,1,"male",75
"064",70,67,71.18,5,1,"male",70
"064",70,67,71.18,5,2,"male",69
"064",70,67,71.18,5,3,"female",66
"064",70,67,71.18,5,4,"female",64
"064",70,67,71.18,5,5,"female",60
"065",70,67,71.18,1,1,"female",67.5
"066",70,66.5,70.91,11,1,"male",73
"066",70,66.5,70.91,11,2,"male",72
"066",70,66.5,70.91,11,3,"male",72
"066",70,66.5,70.91,11,4,"male",66.5
"066",70,66.5,70.91,11,5,"female",69.2
"066",70,66.5,70.91,11,6,"female",67.2
"066",70,66.5,70.91,11,7,"female",66.5
"066",70,66.5,70.91,11,8,"female",66
"066",70,66.5,70.91,11,9,"female",66
"066",70,66.5,70.91,11,10,"female",64.2
"066",70,66.5,70.91,11,11,"female",63.7
"067",70.5,65,70.35,4,1,"male",72
"067",70.5,65,70.35,4,2,"male",70.2
"067",70.5,65,70.35,4,3,"male",69
"067",70.5,65,70.35,4,4,"male",68.5
"068",70.5,65,70.35,5,1,"female",68
"068",70.5,65,70.35,5,2,"female",65
"068",70.5,65,70.35,5,3,"female",61.5
"068",70.5,65,70.35,5,4,"female",61
"068",70.5,65,70.35,5,5,"female",61
"069",70,65,70.1,8,1,"male",73
"069",70,65,70.1,8,2,"male",72
"069",70,65,70.1,8,3,"male",70.5
"069",70,65,70.1,8,4,"male",65
"069",70,65,70.1,8,5,"male",65
"069",70,65,70.1,8,6,"female",64.5
"069",70,65,70.1,8,7,"female",63
"069",70,65,70.1,8,8,"female",62
"070",70,65,70.1,5,1,"male",67
"070",70,65,70.1,5,2,"male",65
"070",70,65,70.1,5,3,"female",64.5
"070",70,65,70.1,5,4,"female",62.5
"070",70,65,70.1,5,5,"female",62.5
"071",70,65,70.1,6,1,"male",70
"071",70,65,70.1,6,2,"male",70
"071",70,65,70.1,6,3,"female",67
"071",70,65,70.1,6,4,"female",65
"071",70,65,70.1,6,5,"female",65
"071",70,65,70.1,6,6,"female",63
"072",70,65,70.1,7,1,"male",79
"072",70,65,70.1,7,2,"male",75
"072",70,65,70.1,7,3,"male",71
"072",70,65,70.1,7,4,"female",69
"072",70,65,70.1,7,5,"female",67
"072",70,65,70.1,7,6,"female",65.7
"072",70,65,70.1,7,7,"female",62
"073",70,65,70.1,3,1,"male",73
"073",70,65,70.1,3,2,"male",72.5
"073",70,65,70.1,3,3,"female",65
"074",70,65,70.1,2,1,"male",69
"074",70,65,70.1,2,2,"male",69
"075",70,64.7,69.938,7,1,"male",72
"075",70,64.7,69.938,7,2,"male",70
"075",70,64.7,69.938,7,3,"male",68.7
"075",70,64.7,69.938,7,4,"female",66.5
"075",70,64.7,69.938,7,5,"female",65.5
"075",70,64.7,69.938,7,6,"female",64.7
"075",70,64.7,69.938,7,7,"female",64.5
"076",70,64,69.56,7,1,"male",70.7
"076",70,64,69.56,7,2,"male",70
"076",70,64,69.56,7,3,"male",68
"076",70,64,69.56,7,4,"male",67
"076",70,64,69.56,7,5,"male",66
"076",70,64,69.56,7,6,"male",65
"076",70,64,69.56,7,7,"female",67
"077",70,64,69.56,4,1,"male",70
"077",70,64,69.56,4,2,"male",68
"077",70,64,69.56,4,3,"male",66.7
"077",70,64,69.56,4,4,"female",65.5
"078",70,64.2,69.668,5,1,"male",72
"078",70,64.2,69.668,5,2,"male",70
"078",70,64.2,69.668,5,3,"female",62.5
"078",70,64.2,69.668,5,4,"female",61.2
"078",70,64.2,69.668,5,5,"female",60.1
"079",70.5,64,69.81,8,1,"male",74
"079",70.5,64,69.81,8,2,"male",69.5
"079",70.5,64,69.81,8,3,"male",69
"079",70.5,64,69.81,8,4,"male",68
"079",70.5,64,69.81,8,5,"male",68
"079",70.5,64,69.81,8,6,"male",68
"079",70.5,64,69.81,8,7,"female",65.5
"079",70.5,64,69.81,8,8,"female",65
"080",70.5,64.5,70.08,1,1,"female",60
"081",70,64,69.56,4,1,"male",68
"081",70,64,69.56,4,2,"female",65
"081",70,64,69.56,4,3,"female",64
"081",70,64,69.56,4,4,"female",62
"082",70,64,69.56,9,1,"male",71
"082",70,64,69.56,9,2,"male",70
"082",70,64,69.56,9,3,"male",70
"082",70,64,69.56,9,4,"male",70
"082",70,64,69.56,9,5,"male",69.5
"082",70,64,69.56,9,6,"male",68.5
"082",70,64,69.56,9,7,"female",69
"082",70,64,69.56,9,8,"female",65
"082",70,64,69.56,9,9,"female",64
"083",70,63.7,69.398,8,1,"male",70
"083",70,63.7,69.398,8,2,"male",67
"083",70,63.7,69.398,8,3,"male",65.5
"083",70,63.7,69.398,8,4,"female",63.7
"083",70,63.7,69.398,8,5,"female",63.2
"083",70,63.7,69.398,8,6,"female",62.5
"083",70,63.7,69.398,8,7,"female",62.2
"083",70,63.7,69.398,8,8,"female",61
"084",70.5,63,69.27,4,1,"male",70
"084",70.5,63,69.27,4,2,"male",68.5
"084",70.5,63,69.27,4,3,"female",65.5
"084",70.5,63,69.27,4,4,"female",63.5
"085",70.5,63,69.27,5,1,"male",72.5
"085",70.5,63,69.27,5,2,"male",69
"085",70.5,63,69.27,5,3,"male",67
"085",70.5,63,69.27,5,4,"female",64.5
"085",70.5,63,69.27,5,5,"female",64
"086",70,63.5,69.29,4,1,"male",71
"086",70,63.5,69.29,4,2,"male",67.5
"086",70,63.5,69.29,4,3,"female",67.5
"086",70,63.5,69.29,4,4,"female",63.5
"087",70,63,69.02,4,1,"male",68
"087",70,63,69.02,4,2,"male",67
"087",70,63,69.02,4,3,"female",63.7
"087",70,63,69.02,4,4,"female",62
"088",70,63,69.02,4,1,"male",70
"088",70,63,69.02,4,2,"male",66.5
"088",70,63,69.02,4,3,"female",62
"088",70,63,69.02,4,4,"female",61
"089",70.5,62,68.73,8,1,"male",72
"089",70.5,62,68.73,8,2,"male",70
"089",70.5,62,68.73,8,3,"male",69.5
"089",70.5,62,68.73,8,4,"male",69.5
"089",70.5,62,68.73,8,5,"male",68
"089",70.5,62,68.73,8,6,"female",65
"089",70.5,62,68.73,8,7,"female",64
"089",70.5,62,68.73,8,8,"female",63
"090",70.3,62.7,69.008,7,1,"male",70.7
"090",70.3,62.7,69.008,7,2,"male",69.7
"090",70.3,62.7,69.008,7,3,"male",69.2
"090",70.3,62.7,69.008,7,4,"male",65.2
"090",70.3,62.7,69.008,7,5,"female",64
"090",70.3,62.7,69.008,7,6,"female",63.5
"090",70.3,62.7,69.008,7,7,"female",63.2
"091",70.5,62,68.73,3,1,"male",72
"091",70.5,62,68.73,3,2,"male",72
"091",70.5,62,68.73,3,3,"female",60
"092",70,61,67.94,2,1,"male",71.2
"092",70,61,67.94,2,2,"male",67
"093",70,60,67.4,4,1,"male",67
"093",70,60,67.4,4,2,"male",64.5
"093",70,60,67.4,4,3,"female",65
"093",70,60,67.4,4,4,"female",63
"094",70,60,67.4,2,1,"female",65
"094",70,60,67.4,2,2,"female",65
"095",70,58.5,66.59,3,1,"male",71.5
"095",70,58.5,66.59,3,2,"male",64.5
"095",70,58.5,66.59,3,3,"female",63
"096",70,58,66.32,5,1,"male",72
"096",70,58,66.32,5,2,"male",66
"096",70,58,66.32,5,3,"female",66
"096",70,58,66.32,5,4,"female",65
"096",70,58,66.32,5,5,"female",63
"097",69,68.5,71.49,10,1,"male",75
"097",69,68.5,71.49,10,2,"male",71
"097",69,68.5,71.49,10,3,"male",70
"097",69,68.5,71.49,10,4,"female",66
"097",69,68.5,71.49,10,5,"female",66
"097",69,68.5,71.49,10,6,"female",65.5
"097",69,68.5,71.49,10,7,"female",65
"097",69,68.5,71.49,10,8,"female",65
"097",69,68.5,71.49,10,9,"female",64
"097",69,68.5,71.49,10,10,"female",64
"098",69,67,70.68,1,1,"female",64
"099",69,66,70.14,8,1,"male",73
"099",69,66,70.14,8,2,"male",72
"099",69,66,70.14,8,3,"male",71.7
"099",69,66,70.14,8,4,"male",71.5
"099",69,66,70.14,8,5,"female",65.5
"099",69,66,70.14,8,6,"female",65
"099",69,66,70.14,8,7,"female",62.7
"099",69,66,70.14,8,8,"female",62.5
"100",69,66,70.14,3,1,"male",71.2
"100",69,66,70.14,3,2,"male",71
"100",69,66,70.14,3,3,"male",70
"101",69,66.7,70.518,4,1,"male",75
"101",69,66.7,70.518,4,2,"male",74
"101",69,66.7,70.518,4,3,"male",72
"101",69,66.7,70.518,4,4,"male",68.5
"102",69,66,70.14,6,1,"male",70
"102",69,66,70.14,6,2,"male",68.5
"102",69,66,70.14,6,3,"male",68
"102",69,66,70.14,6,4,"female",65
"102",69,66,70.14,6,5,"female",63
"102",69,66,70.14,6,6,"female",62.5
"103",69,66.5,70.41,7,1,"male",73
"103",69,66.5,70.41,7,2,"male",71
"103",69,66.5,70.41,7,3,"male",70.5
"103",69,66.5,70.41,7,4,"male",70.5
"103",69,66.5,70.41,7,5,"male",67
"103",69,66.5,70.41,7,6,"male",66
"103",69,66.5,70.41,7,7,"female",61
"104",69.5,66.5,70.66,4,1,"male",70.5
"104",69.5,66.5,70.66,4,2,"male",67.5
"104",69.5,66.5,70.66,4,3,"female",64.5
"104",69.5,66.5,70.66,4,4,"female",64
"105",69,66.5,70.41,6,1,"male",71
"105",69,66.5,70.41,6,2,"female",68.5
"105",69,66.5,70.41,6,3,"female",67.5
"105",69,66.5,70.41,6,4,"female",66
"105",69,66.5,70.41,6,5,"female",63
"105",69,66.5,70.41,6,6,"female",63
"106",69.5,66,70.39,7,1,"male",71
"106",69.5,66,70.39,7,2,"male",71
"106",69.5,66,70.39,7,3,"male",70.5
"106",69.5,66,70.39,7,4,"male",70.5
